File,Map,Number of Agents,Cost,time,init_msgs,CT_Node_msgs,Goal Msgs,total_msgs,expanded_nodes,roundRobinIteration
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.550824642,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.556847811,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.557807684,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.563790798,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.568814516,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.573763609,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.573768854,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.588724136,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.590686321,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.591682434,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.594707966,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.597698212,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.60272789,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.603682041,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.644572973,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.657539606,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.711397409,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.722328663,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.748258352,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.754281044,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.841087103,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,3,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,4,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,5,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,6,inf,inf,0,0,0,0,0,0
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.088054419,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.095068455,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.101018906,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.101022482,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.103016615,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.106042147,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.108005524,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.108035564,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.108035803,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.10806632,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.109063625,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.110025883,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.111027241,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.111029387,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.111059666,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.113024712,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.115048647,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.115057707,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.115978479,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.117010832,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.117043972,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.11800909,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.118040085,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.119004965,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.119006634,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.121965885,1,0,1,2,0,2
Tests_files/empty-48-48.map-1.scen,Maps_files/empty-48-48.map,1,44,1.12199831,1,0,1,2,0,2
